SDR	7.1.1
09/07/2012 05:50:00	5.0	1.4																							248								-123.5															
09/07/2012 06:00:00	4.4	1.3																							248								-123.5															
09/07/2012 06:10:00	4.4	1.3																							248								-123.5															
09/07/2012 06:20:00	2.8	1.5																							248								-123.5															
09/07/2012 06:30:00	4.0	1.7																							248								-123.5															
09/07/2012 06:40:00	4.6	1.5																							270								-123.5															
09/07/2012 06:50:00	3.1	2.0																							270								-123.5															
09/07/2012 07:00:00	2.4	1.5																							292								-123.5															
09/07/2012 07:10:00	1.7	1.4																							270								-123.5															
09/07/2012 07:20:00	3.3	1.9																							248								-123.5															
09/07/2012 07:30:00	3.6	1.4																							315								-123.5															
09/07/2012 07:40:00	5.4	2.0																							292								-123.5															
09/07/2012 07:50:00	2.1	1.4																							248								-123.5															
09/07/2012 08:00:00	5.3	2.2																							248								-123.5															
09/07/2012 08:10:00	7.6	2.3																							248								-123.5															
09/07/2012 08:20:00	5.8	2.8																							248								-123.5															
09/07/2012 08:30:00	8.3	2.4																							270								-123.5															
09/07/2012 08:40:00	9.4	2.2																							248								-123.5															
09/07/2012 08:50:00	7.7	2.0																							225								-123.5															
09/07/2012 09:00:00	5.9	1.9																							248								-123.5															
09/07/2012 09:10:00	8.3	1.8																							248								-123.5															
09/07/2012 09:20:00	8.5	1.6																							248								-123.5															
09/07/2012 09:30:00	5.1	3.5																							225								-123.5															
09/07/2012 09:40:00	9.7	2.5																							248								-123.5															
09/07/2012 09:50:00	6.8	1.6																							248								-123.5															
09/07/2012 10:00:00	8.3	2.1																							248								-123.5															
09/07/2012 10:10:00	8.0	1.9																							248								-123.5															
09/07/2012 10:20:00	9.1	2.4																							248								-123.5															
09/07/2012 10:30:00	7.9	1.9																							225								-123.5															
09/07/2012 10:40:00	6.0	1.9																							225								-123.5															
09/07/2012 10:50:00	8.2	2.5																							225								-123.5															
09/07/2012 11:00:00	9.9	1.9																							248								-123.5															
09/07/2012 11:10:00	8.0	2.2																							248								-123.5															
09/07/2012 11:20:00	8.9	2.1																							248								-123.5															
09/07/2012 11:30:00	8.5	2.2																							225								-123.5															
09/07/2012 11:40:00	8.9	1.9																							225								-123.5															
09/07/2012 11:50:00	9.0	2.0																							225								-123.5															
09/07/2012 12:00:00	9.0	2.0																							248								-123.5															
09/07/2012 12:10:00	7.9	2.5																							225								-123.5															
09/07/2012 12:20:00	9.1	2.2																							225								-123.5															
09/07/2012 12:30:00	8.2	2.0																							225								-123.5															
09/07/2012 12:40:00	7.5	1.9																							225								-123.5															
09/07/2012 12:50:00	6.1	1.8																							225								-123.5															
09/07/2012 13:00:00	10.0	2.7																							202								-123.5															
